,pros,cons
1,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
2,"Benefits, Stock plan, Discounts, Occasional free meals.","Breaks are monitored closely, shifts are sporadically scheduled."
3,"Fun, quick-paced, great pay","Slow advancement, customers tend to be a little off-put by prices"
4,"benefits, peers",work life balance
5,"Great benefits, high entry level pay, flexible",Poor management
6,The cafeteria food is awesome at the Austin location. Nice gym too.,"Hours, relentless pushing for more productivity, no room for advancement"
7,"Convenient hours, relaxed environment, consistent work, good communication","benefits, pay, holiday/breaks"
8,"lots of free food, gym reimbursement, paid holidays (full-time), cheap health benefits","no clear-cut path to promotions, pay could be better"
9,"Good pay, excellent benefits.",Limited oppurtunities for advancement within the company.
10,"Great product, good benefits","Politics, angry customers"
11,"Onsite cafe, gym, doctors office with a pharmacy, dental office, and therapist.","Scheduling, job development."
12,"Health insurance, dental insurance, vision insurance, stocks, 401K, life insurance, disability insurance, discounts, apple swag",none
13,Great benefits.,"Extremely self-absorbed, favoritism based on who's friendly with manager versus talent."
14,You want to be a better version of yourself... Work for Apple. It is truly a changing event.,Very competitive for new positions. The politics are there and expect to work for it.
15,Good pay and benefits,No family/life/work balance or compassion for family time....corporate greed
16,"Great Culture, great pay",headcount is very slow process
17,"paid healthcare benefits, incentives and bonuses, great pay, work from home",Stress of the call center type job
18,work-life balance,"benefits, job security"
19,Always making sure all breaks are taken plus fexible schedules. Also amazing benifits.,Lack of management to seek amd understand but rare
20,"benefits are great, 3 week schedule set, fun, no presser",not many hours sometime or no commission or no bonus except for management
21,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
22,nice perks,"over worked 10 hr days, you werk every holiday except for thanksgiving"
23,"Benefits, Culture",Difficult to advance from the low level.
24,"Work from home, insurance.",Not flexible around school.
25,great people,insufficient salary compensation
26,Beneifits,Schedule/Retail Life
27,Fast,not permanant
28,"great people, wonderfully designed environment, convenient access to various medical personnel","salary is lower per position, advancement is difficult"
29,benefits and training,possessive culture and no schedule flexibility
30,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
31,nice perks,"over worked 10 hr days, you werk every holiday except for thanksgiving"
32,"Benefits, Culture",Difficult to advance from the low level.
33,"Work from home, insurance.",Not flexible around school.
34,great people,insufficient salary compensation
35,Beneifits,Schedule/Retail Life
36,Fast,not permanant
37,"great people, wonderfully designed environment, convenient access to various medical personnel","salary is lower per position, advancement is difficult"
38,benefits and training,possessive culture and no schedule flexibility
39,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
40,"benefits are great, 3 week schedule set, fun, no presser",not many hours sometime or no commission or no bonus except for management
41,"Convenient hours, relaxed environment, consistent work, good communication","benefits, pay, holiday/breaks"
42,Benefits,Management
43,Fun to learn new tech and always changing challenges.,"Drab atmosphere, not easy to move up..."
44,Great benefits.,"Extremely self-absorbed, favoritism based on who's friendly with manager versus talent."
45,"paid healthcare benefits, incentives and bonuses, great pay, work from home",Stress of the call center type job
46,Always making sure all breaks are taken plus fexible schedules. Also amazing benifits.,Lack of management to seek amd understand but rare
47,"Company discounts, advancement opportunities","It is still retail, not a really flexible schedule."
48,"Meeting new people, cafeteria, workplace is air conditioned","Short breaks, back gets tired from sitting at the desk for hours."
49,A lot of free stuff!!!!,commission would be nice
50,"Onsite cafe, gym, doctors office with a pharmacy, dental office, and therapist.","Scheduling, job development."
51,Beneifits,Schedule/Retail Life
52,nice perks,"over worked 10 hr days, you werk every holiday except for thanksgiving"
53,"Fun, quick-paced, great pay","Slow advancement, customers tend to be a little off-put by prices"
54,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
55,nice perks,"over worked 10 hr days, you werk every holiday except for thanksgiving"
56,"Benefits, Culture",Difficult to advance from the low level.
57,"Work from home, insurance.",Not flexible around school.
58,great people,insufficient salary compensation
59,Beneifits,Schedule/Retail Life
60,Fast,not permanant
61,"great people, wonderfully designed environment, convenient access to various medical personnel","salary is lower per position, advancement is difficult"
62,benefits and training,possessive culture and no schedule flexibility
63,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
64,"Benefits, Stock plan, Discounts, Occasional free meals.","Breaks are monitored closely, shifts are sporadically scheduled."
65,"Fun, quick-paced, great pay","Slow advancement, customers tend to be a little off-put by prices"
66,"benefits, peers",work life balance
67,"Great benefits, high entry level pay, flexible",Poor management
68,The cafeteria food is awesome at the Austin location. Nice gym too.,"Hours, relentless pushing for more productivity, no room for advancement"
69,"Convenient hours, relaxed environment, consistent work, good communication","benefits, pay, holiday/breaks"
70,"lots of free food, gym reimbursement, paid holidays (full-time), cheap health benefits","no clear-cut path to promotions, pay could be better"
71,"Good pay, excellent benefits.",Limited oppurtunities for advancement within the company.
72,"Great product, good benefits","Politics, angry customers"
73,"Onsite cafe, gym, doctors office with a pharmacy, dental office, and therapist.","Scheduling, job development."
74,"Health insurance, dental insurance, vision insurance, stocks, 401K, life insurance, disability insurance, discounts, apple swag",none
75,Great benefits.,"Extremely self-absorbed, favoritism based on who's friendly with manager versus talent."
76,You want to be a better version of yourself... Work for Apple. It is truly a changing event.,Very competitive for new positions. The politics are there and expect to work for it.
77,Good pay and benefits,No family/life/work balance or compassion for family time....corporate greed
78,"Great Culture, great pay",headcount is very slow process
79,"paid healthcare benefits, incentives and bonuses, great pay, work from home",Stress of the call center type job
80,work-life balance,"benefits, job security"
81,Always making sure all breaks are taken plus fexible schedules. Also amazing benifits.,Lack of management to seek amd understand but rare
82,"benefits are great, 3 week schedule set, fun, no presser",not many hours sometime or no commission or no bonus except for management
83,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
84,nice perks,"over worked 10 hr days, you werk every holiday except for thanksgiving"
85,"Benefits, Culture",Difficult to advance from the low level.
86,"Work from home, insurance.",Not flexible around school.
87,great people,insufficient salary compensation
88,Beneifits,Schedule/Retail Life
89,Fast,not permanant
90,"great people, wonderfully designed environment, convenient access to various medical personnel","salary is lower per position, advancement is difficult"
91,benefits and training,possessive culture and no schedule flexibility
92,Working at the Apple Culture. Great Experience,"last year working there, commuting to Elk Grove from Fremont"
93,nice perks,"over worked 10 hr days, you werk every holiday except for thanksgiving"
94,"Benefits, Culture",Difficult to advance from the low level.
